,close,high,low,open,volume,adj_close,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2015-01-02,26.045291900634766,26.365890262152053,26.01005649255029,26.253729623401174,28951268,26.045291900634766,-23217637.132504374,28951268,-0.8019557945615499,0.0,0.0,0.0,0.0,26.14041288511237,50.0,1000.0,26.045291900634766,26.045291900634766,26.045291900634766,0.0,0.0,0.0,0.0,26.14041288511237,26.49624665471413,25.78457911551061,2.722480101333189,0.36634070090640686,0.0,0.0,26.01005649255029,26.365890262152053,26.18797337735117,1.3662114863573103,0.09902210271922507,0.0,0.0,0.0,0.0,0.0,26.045291900634766,26.045291900634766,26.045291900634766,26.045291900634766,0.0,0.0,0.0,-41.854073339786794,1.0,19.42003241025018,-427.13942338690833,-427.13942338690833,0.0,26.18797337735117,26.18797337735117,26.18797337735117,26.18797337735117,0.0,0.0,0.0,0.0,0.0,45.1464618274086,44.63990924034476,0.0,0.0,0.0,24.196647568291755,26.365890262152053,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,9.902210271922508,9.902210271922508,-90.09778972807749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.045291900634766,0.0,0.0,0.0
2015-01-05,25.502361297607422,26.021470863061097,25.46216358448599,25.96836811788302,41196796,25.502361297607422,-58492761.62717703,-12245528,-0.8338471269453285,-22367001.295074463,-0.6057227947460812,-0.6057227947460812,-858773.3007718502,25.859448089556317,0.0,1000.0,25.773826599121094,26.316757202148438,25.23089599609375,4.213038377823634,0.25,0.0,0.0,25.901205733415267,26.358776257503703,25.443635209326835,3.53319863791607,0.06417162512552557,0.0,0.0,25.46216358448599,26.365890262152053,25.91402692331902,3.5063737012061766,0.04447994522552591,0.0,0.0,-0.043310703375397,-0.008662140675079399,-0.034648562700317596,25.773826599121094,25.773826599121094,25.96176411555364,26.005074818929035,0.0005696249557200673,0.045099751077925354,-0.044530126122205284,-0.004071412745471809,2.0894456110164166,19.69149771176385,-433.1102441305905,-430.12483375874945,-2.9854103718410556,25.91402692331902,25.91402692331902,25.91402692331902,25.91402692331902,0.0,0.0,0.0,0.0,-66.66666666666617,45.1464618274086,44.63990924034476,0.0,4.0,-4.0,24.196647568291755,26.365890262152053,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,4.281079473970654,4.447994522552591,7.175102397237549,-95.55200547744741,0.0,0.0,-0.16654712080993989,-0.033309424161987976,-0.1332376966479519,3.2716189203942183,0.6543237840788437,2.6172951363153745,25.795672121497386,-2.0845633256815654,-2.106597090071194,-2.0845633256815654
2015-01-06,24.91128921508789,25.616752868463585,24.86612919902259,25.55843913633975,57998800,24.91128921508789,-109512760.27464658,-70244328,-0.8545879068460589,-24069068.46715437,-0.6475896257535744,-0.6266562102498278,-2203020.254988202,25.5299318656662,0.0,1000.0,25.48631413777669,26.412501528766736,24.560126746786647,7.268115632438334,0.18957420048974635,0.0,0.0,25.64460063145174,26.199855537324364,25.089345725579122,4.330384503563923,-0.16033762926543016,0.0,1.0,24.86612919902259,26.365890262152053,25.616009730587322,5.884574187628271,0.030111473871088965,0.0,0.0,-0.123901070683889,-0.03170992667684132,-0.09219114400704768,25.48631413777669,25.48631413777669,25.800152592405063,25.92405366308895,0.007985160245846019,0.0990459560443476,-0.09106079579850158,-0.015120497660443225,3.3044471494353247,19.979010173108254,-439.4340186929017,-433.22789540346685,-6.206123289434856,25.616009730587322,25.616009730587322,25.616009730587322,25.616009730587322,0.0,0.0,0.0,0.0,-99.99999999999967,45.1464618274086,44.63990924034476,0.0,8.0,-8.0,24.196647568291755,26.365890262152053,0.0,1.0,0.0,0.0,0.0,0.0,-100.0,5.0519915265890845,3.0111473871088963,5.787117393861332,-96.9888526128911,0.0,0.0,-0.4779386445272684,-0.12223526823504408,-0.35570337629222437,9.615271579125235,2.446513343088122,7.168758236037113,25.38630130559802,-2.317715115168506,-2.344996492736584,-4.353964201565496
2015-01-07,24.868610382080078,25.173524493193202,24.796649360974577,25.161414873502064,41301082,24.868610382080078,-135041679.13941514,-111545410,-0.7969508178010912,-20882441.826378025,-0.23392483480692625,-0.4957457517688606,-2273778.6154448064,25.387668581669633,0.0,998.2867673913094,25.33188819885254,26.296012547561247,24.36776385014383,7.611942237707966,0.25974166745557864,0.0,0.0,25.470015826609462,25.980675789068584,24.95935586415034,4.009891206472022,-0.08885118155070276,0.0,1.0,24.796649360974577,26.365890262152053,25.581269811563317,6.194725355090421,0.04585721736637472,0.0,0.0,-0.18903427310929644,-0.06317479596333234,-0.1258594771459641,25.33188819885254,25.33188819885254,25.65683840620122,25.845872679310517,0.022366120123304314,0.13602882646256936,-0.11366270633926505,-0.030664095743193478,4.434448043491049,20.133436112032406,-442.8305839052867,-435.6285675289218,-7.202016376364895,25.581269811563317,25.581269811563317,25.581269811563317,25.581269811563317,0.0,0.0,0.0,0.0,-80.97815003861277,45.1464618274086,44.63990924034476,0.0,12.0,-12.0,24.196647568291755,26.335895040889465,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,7.612955621405308,4.585721736637472,4.01495454876632,-95.41427826336252,0.0,0.0,-0.7313905607088181,-0.24406632672979892,-0.48732423397901925,10.250621419842194,4.007334958438936,6.243286461403257,25.149934347859194,-0.1713232608690607,-0.17147018700405248,-4.517828108987365
2015-01-08,24.947023391723633,24.986725633476457,24.36736762476095,24.714267718056618,67071641,24.947023391723633,-76568924.30305168,-44473769,-0.3237318535612515,-17147908.817960873,-0.28445289649592737,-0.4429225379506273,-2062295.5791296104,25.211671942872776,0.0,998.2867673913094,25.254915237426758,26.170571284460177,24.33925919039334,7.25130960389409,0.33187363491965904,0.0,0.0,25.32942043795164,25.861820009662033,24.79702086624124,4.2038038178930455,0.14087401028563162,0.0,0.0,24.36736762476095,26.365890262152053,25.3666289434565,7.913400692905021,0.290042132181887,0.0,0.0,-0.23165515431878347,-0.09687086763442257,-0.1347842866843609,25.254915237426758,25.254915237426758,25.547636096281593,25.779291250600377,0.030455245245039852,0.16916621197623463,-0.1387109667311948,-0.04791272156215122,5.599778665811174,20.210409073458187,-444.52358758649774,-437.40757154043695,-7.116016046060793,25.3666289434565,25.3666289434565,25.3666289434565,25.3666289434565,0.0,0.0,0.0,0.0,-81.96281003450281,45.1464618274086,44.63990924034476,0.0,16.0,-16.0,24.196647568291755,26.27432521369287,0.0,0.0,7.380792128880543,0.0,0.0,0.0,-99.67440573931391,27.439471749864243,29.004213218188703,12.200360780645022,-70.99578678181129,0.0,0.0,-0.8986094771452975,-0.3749749568128986,-0.5236345203323989,15.851733645173717,6.376214695785893,9.475518949387823,25.058060383322097,0.31530917264301905,0.3148131157396872,-4.216764062776224
2015-01-09,24.623947143554688,25.058190674023155,24.555460108320517,25.050251743919507,41427428,24.623947143554688,-106709026.98543704,-85901197,-0.38391859320898636,-16610238.702470623,0.15748926161469606,-0.3228401780375626,-2598801.189412936,25.142244526342996,0.0,985.358461743731,25.14975388844808,26.108850607643294,24.190657169252862,7.627086320202549,0.22588440020178652,0.0,0.0,25.23216136084294,25.759616098218714,24.70470662346717,4.18081296986562,-0.0765558390036305,0.0,1.0,24.36736762476095,26.365890262152053,25.3666289434565,7.946489839445614,0.12838459469675106,0.0,0.0,-0.2881801020796537,-0.1351327145234688,-0.1530473875561849,25.14975388844808,25.14975388844808,25.405530103554376,25.69371020563403,0.060763606980477364,0.18470016548743037,-0.12393655850695301,-0.06790836659133688,6.734830638409241,20.315570422436867,-446.8365887708641,-438.97907441217484,-7.857514358689286,25.3666289434565,25.3666289434565,25.3666289434565,25.3666289434565,0.0,0.0,0.0,0.0,-72.68507224323419,45.1464618274086,44.63990924034476,0.0,16.0,-16.0,24.196647568291755,26.159907758356955,0.0,0.0,5.559940025951121,0.0,0.0,0.0,-99.4098358277969,25.26106501190165,12.838459469675106,15.476131474833759,-87.16154053032488,-0.1829216560621596,0.0,-1.1215978532227027,-0.5242995360948595,-0.5972983171278432,14.635541358903364,8.028080028409388,6.607461330493976,24.863721564416636,-1.2950492854234774,-1.3035081591019182,-5.457204175336727
2015-01-12,24.444292068481445,24.614318435723725,24.196647568291755,24.562903327920566,46535413,24.444292068481445,-98061088.72916164,-132436610,-0.3022077014572932,-15431679.332986154,-0.36021819301224844,-0.32906984720001026,-2938321.213044391,25.038437662656833,0.0,985.358461743731,25.048973628452845,26.064954373195643,24.032992883710047,8.111955082971999,0.20241485229895811,0.0,0.0,25.115912503222376,25.627683830606173,24.604141175838574,4.075275603210827,-0.1561723945871347,0.0,1.0,24.196647568291755,26.365890262152053,25.281268915221904,8.660006298207284,0.11416173067707402,0.0,0.0,-0.3435133850653216,-0.17680884863183938,-0.1667045364334822,25.048973628452845,25.048973628452845,25.257647328927774,25.601160713993096,0.06221170973247582,0.2191536565802196,-0.15694194684774376,-0.0901256232296951,7.815313059178149,20.4163506824321,-449.05322884817036,-440.41823933160276,-8.6349895165676,25.281268915221904,25.281268915221904,25.281268915221904,25.281268915221904,0.0,0.0,0.0,0.0,-102.61147166531796,45.1464618274086,44.63990924034476,0.0,24.0,-24.0,24.196647568291755,26.052355350341195,0.0,0.0,4.8442608781042225,0.0,0.0,0.0,-99.19429284533,29.12472401021331,11.416173067707403,17.752948585190406,-88.5838269322926,-0.32620534398208534,0.0,-1.341788323205064,-0.6877972935169003,-0.6539910296881637,14.492140774759369,9.320892177679385,5.171248597079984,24.66919849061824,-0.7295949509064314,-0.7322695117828015,-6.146983640119242
2015-01-13,24.624439239501953,24.961908266796904,24.436348128602916,24.756449087614186,47409807,24.624439239501953,-111536193.9963316,-85026803,-0.29991536122374696,-12007047.626891237,0.3255195905521773,-0.23555707037826917,-2588925.019211034,24.992007744740924,13.701853054916356,985.358461743731,24.995906829833984,25.986886217972533,24.004927441695436,7.92913331678577,0.3125755213588274,0.0,0.0,25.060702425107152,25.574197353842223,24.547207496372078,4.098009066343055,0.07520205050527522,0.0,0.0,24.196647568291755,26.365890262152053,25.281268915221904,8.678391660794588,0.1972078423594534,0.0,0.0,-0.36858027535656035,-0.21516313397678358,-0.15341714137977677,24.995906829833984,24.995906829833984,25.16023069978534,25.5288109751419,0.09373228309032194,0.2218554467208587,-0.12812316363053675,-0.1113789516259948,8.897094167995798,20.46941748105096,-450.2204216357109,-441.6435121196163,-8.576909516094645,25.281268915221904,25.281268915221904,25.281268915221904,25.281268915221904,0.0,0.0,0.0,0.0,-58.8337780809061,45.1464618274086,44.63990924034476,0.0,24.0,-24.0,24.196647568291755,25.90389872777724,0.0,0.0,16.45691298137008,0.0,0.0,0.0,-98.22082760574575,31.580198769097027,19.72078423594534,14.65847225777595,-80.27921576405465,-0.3783861933273194,0.0,-1.4437815992114047,-0.8389941546558013,-0.6047874445556034,14.340422193007834,10.324798180745075,4.015624012262759,24.64911627800497,0.7369702935794642,0.7342679364355398,-5.455314789918653
2015-01-14,24.857196807861328,24.97431785096186,24.46662311150123,24.548510645785214,44714427,24.857196807861328,-87452275.54738079,-40312376,-0.2099156915243491,-8804952.06603495,0.02423236929121081,-0.20308339041958418,-2166270.874770371,24.96775524403732,23.610320930452687,994.6723647848158,24.980494605170357,25.918857940535553,24.04213126980516,7.5127682633711945,0.4343016757677115,0.0,0.0,25.027962813810966,25.540813277071102,24.51511235055083,4.098219795796839,0.3335128676065766,0.0,0.0,24.196647568291755,26.365890262152053,25.281268915221904,8.683745971191929,0.3045068407694326,0.0,0.0,-0.3654516765377629,-0.24522084248897946,-0.12023083404878343,24.980494605170357,24.980494605170357,25.1136101010278,25.479061777565562,0.11438123150434554,0.2379680306897437,-0.12358679918539817,-0.12913492160001136,9.969751573381984,20.48482970571459,-450.55941019231386,-442.6341674610271,-7.925242731286744,25.281268915221904,25.281268915221904,25.281268915221904,25.281268915221904,0.0,0.0,0.0,0.0,-42.47499632305628,45.1464618274086,44.63990924034476,0.0,24.0,-24.0,24.196647568291755,25.767318635018402,0.0,0.0,28.583916565828645,0.0,0.0,0.0,-96.36150747660388,39.55535053413944,30.450684076943258,20.529213793531998,-69.54931592305674,-0.38990617788532234,0.0,-1.4343215606924147,-0.958059635863124,-0.47626192482929064,13.528131014536507,10.965464747503363,2.562666267033144,24.737620679786403,0.9452299242046935,0.9407905789117432,-4.561650133567829
2015-01-15,24.90285301208496,25.095906433894264,24.702851603414732,25.090446758972945,54316718,24.90285301208496,-86492124.9176781,14004342,-0.183664962477926,-7192831.032349177,0.12946449534767437,-0.1661336253343332,-2066505.1936706712,24.960002234383126,33.005063900868905,994.6723647848158,24.972730445861817,25.864158139145793,24.08130275257784,7.139208867980977,0.46080588795742305,0.0,0.0,25.01522023407633,25.516091134058406,24.51434933409426,4.004529204981976,0.3878281589174042,0.0,0.0,24.196647568291755,26.365890262152053,25.281268915221904,8.686445795596848,0.3255539114143427,0.5042158745225386,0.0,-0.3551937132910865,-0.26721541664940085,-0.08797829664168566,24.972730445861817,24.972730445861817,25.081185933498134,25.43637964678922,0.13858531910623262,0.24533837137535713,-0.10675305226912452,-0.14321066355041656,10.994189040063079,20.492593865023128,-450.7301812013459,-445.25536277374243,-5.474818427603452,25.109059215676425,25.281268915221904,25.195164065449163,25.281268915221904,0.0,0.0,0.0,0.0,-20.246229129106812,45.1464618274086,44.63990924034476,0.0,24.0,-24.0,24.196647568291755,25.64166494968027,0.0,0.0,30.708641607622738,0.0,0.0,0.0,-94.59316107302986,45.33635047390927,32.55539114143427,27.575619818107622,-67.44460885856573,-0.330207910030488,0.0,-1.3964004242086465,-1.0457277935322287,-0.35067263067641785,14.459637924001942,11.66429938280308,2.7953385411988627,24.8077591772508,0.1836739861559744,0.1835055117542339,-4.38635471204668
